_date,total_views,unique_views
2023-09-15,3,1
2023-09-16,80,3
2023-09-17,3,1
2023-09-18,27,2
2023-09-19,160,1
2023-09-20,4,1
2023-09-22,4,1
2023-09-23,2,1
2023-09-28,267,1
2023-09-30,86,1
2023-10-03,27,2
2023-10-04,11,1
2023-10-05,18,1
2023-10-16,2,1
2023-10-20,4,1
2023-11-02,25,1
2023-11-05,3,1
2023-11-15,1,1
2023-11-16,2,1
2023-11-22,2,1
2023-11-23,8,1
2023-11-28,3,1
2023-12-05,1,1
2024-01-25,5,1
2024-01-27,4,1
2024-01-28,3,1
2024-02-03,6,1
2024-02-05,4,1
2024-02-07,2,1
2024-02-11,6,1
2024-02-16,2,1
2024-02-17,10,1
2024-03-17,3,1
2024-03-26,1,1
